Dataplantio	Epoca	ano	mes	dia	Ndia	Quinzena	T.max	t.min	Prec.	Tmed	Tbase	ADD	ADDTot	Prec.Ac	Estacao
18/09/2020	1	2021	abr	9	204	Q14	28.2	21.5	9.8	23.32	13	10.32	2443.46	265.2	Outono
18/09/2020	1	2021	abr	10	205	Q14	24.4	21.6	24.5	22.42	13	9.42	2452.88	289.7	Outono
18/09/2020	1	2021	abr	11	206	Q14	27.1	21.4	30.6	23.64	13	10.64	2463.52	320.3	Outono
18/09/2020	1	2021	abr	12	207	Q14	29.8	21.1	17.1	23.98	13	10.98	2474.5	337.4	Outono
18/09/2020	1	2021	abr	13	208	Q14	31.4	19.6	6	24.6	13	11.6	2486.1	343.4	Outono
18/09/2020	1	2021	abr	14	209	Q14	30	20.9	0	24.48	13	11.48	2497.58	343.4	Outono
18/09/2020	1	2021	abr	15	210	Q14	27.8	21	0.5	23.2	13	10.2	2507.78	343.9	Outono
18/09/2020	1	2021	abr	16	211	Q15	26.8	20.8	17.3	22.66	13	9.66	2517.44	361.2	Outono
18/09/2020	1	2021	abr	17	212	Q15	27.1	21.2	1.6	23.84	13	10.84	2528.28	362.8	Outono
18/09/2020	1	2021	abr	18	213	Q15	29.6	22.4	0	24.58	13	11.58	2539.86	362.8	Outono
18/09/2020	1	2021	abr	19	214	Q15	32.1	22.1	0.2	25.28	13	12.28	2552.14	363	Outono
18/09/2020	1	2021	abr	20	215	Q15	30.8	23.1	18.9	25.46	13	12.46	2564.6	381.9	Outono
18/09/2020	1	2021	abr	21	216	Q15	28.9	22.4	25.6	24.5	13	11.5	2576.1	407.5	Outono
18/09/2020	1	2021	abr	22	217	Q15	30	23.2	1	25.2	13	12.2	2588.3	408.5	Outono
18/09/2020	1	2021	abr	23	218	Q15	29.4	23.6	1.5	25.24	13	12.24	2600.54	410	Outono
18/09/2020	1	2021	abr	24	219	Q15	29.3	23.7	8.7	25.02	13	12.02	2612.56	418.7	Outono
18/09/2020	1	2021	abr	25	220	Q15	30.8	22.4	4.2	25.46	13	12.46	2625.02	422.9	Outono
18/09/2020	1	2021	abr	26	221	Q15	30.4	21.4	0	25.3	13	12.3	2637.32	422.9	Outono
18/09/2020	1	2021	abr	27	222	Q15	30.4	19.9	0	24.44	13	11.44	2648.76	422.9	Outono
18/09/2020	1	2021	abr	28	223	Q15	30	21.9	0	24.78	13	11.78	2660.54	422.9	Outono
18/09/2020	1	2021	abr	29	224	Q15	28.6	22.4	4	23.44	13	10.44	2670.98	426.9	Outono
18/09/2020	1	2021	abr	30	225	Q15	28.1	21.8	3	23.22	13	10.22	2681.2	429.9	Outono
18/09/2020	1	2021	mai	1	226	Q16	27.2	21.7	5.9	22.86	13	9.86	2691.06	435.8	Outono
18/09/2020	1	2021	mai	2	227	Q16	27.1	20.9	1.6	22.98	13	9.98	2701.04	437.4	Outono
18/09/2020	1	2021	mai	3	228	Q16	27.3	20.1	1.8	22.9	13	9.9	2710.94	439.2	Outono
18/09/2020	1	2021	mai	4	229	Q16	25	21.4	14	22.54	13	9.54	2720.48	453.2	Outono
18/09/2020	1	2021	mai	5	230	Q16	27.5	21	8.7	23.78	13	10.78	2731.26	461.9	Outono
18/09/2020	1	2021	mai	6	231	Q16	27.6	20.8	2.2	23.8	13	10.8	2742.06	464.1	Outono
18/09/2020	1	2021	mai	7	232	Q16	29.8	21.1	1.8	24	13	11	2753.06	465.9	Outono
18/09/2020	1	2021	mai	8	233	Q16	29	20	0	23.88	13	10.88	2763.94	465.9	Outono
18/09/2020	1	2021	mai	9	234	Q16	27.5	21.1	2.1	23.02	13	10.02	2773.96	468	Outono
18/09/2020	1	2021	mai	10	235	Q16	25	20.7	3.8	22.26	13	9.26	2783.22	471.8	Outono
18/09/2020	1	2021	mai	11	236	Q16	26.4	19.6	3.8	21.82	13	8.82	2792.04	475.6	Outono
18/09/2020	1	2021	mai	12	237	Q16	25.4	19.1	0.2	22.06	13	9.06	2801.1	475.8	Outono
18/09/2020	1	2021	mai	13	238	Q16	28.8	20.6	0	23.88	13	10.88	2811.98	475.8	Outono
18/09/2020	1	2021	mai	14	239	Q16	26.3	21.6	0	23.02	13	10.02	2822	475.8	Outono
18/09/2020	1	2021	mai	15	240	Q16	26.4	20.5	1.6	22.48	13	9.48	2831.48	477.4	Outono
18/09/2020	1	2021	mai	16	241	Q17	26.2	20.2	0	22.52	13	9.52	2841	477.4	Outono
18/09/2020	1	2021	mai	17	242	Q17	27.6	19.8	0	23.06	13	10.06	2851.06	477.4	Outono
18/09/2020	1	2021	mai	18	243	Q17	28.4	19.4	0	22.68	13	9.68	2860.74	477.4	Outono
